Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
000299	VIA CHIANCONE	CHIANCONE                     	1		
000303	VIA CHIESA DAMIANO	CHIESA DAMIANO                	1		
000305	VIA CHIETI	CHIETI                        	1		
000307	VIA CIACCIA	CIACCIA                       	1		
000309	VIA CIALDINI GENERALE	CIALDINI GENERALE             	1		
000311	VIA CICCARELLA	CICCARELLA                    	1		
000313	VIA CICCIMARRA	CICCIMARRA                    	1		
000315	VIA CICERONE	CICERONE                      	1		
000317	VIA CICERUACCHIO	CICERUACCHIO                  	1		
000321	VIA CILEA	CILEA                         	1		
000323	VIA CIMAROSA	CIMAROSA                      	1		
000327	VIA CIMITERO	CIMITERO                      	1		
000324	VIA CIMITERO INGRESSO PARCHEGGIO	CIMITERO	ALTAMURA	1	CO
000333	VIA CIPRO	CIPRO                         	1		
000335	VIA CIRENAICA	CIRENAICA                     	1		
000337	VIA CIRENE	CIRENE                        	1		
000339	VIA CIRILLO D.CO	CIRILLO D.CO                  	1		
000341	VIA COL DI LANA	COL DI LANA                   	1		
000343	VIA COLLETTA PIETRO	COLLETTA PIETRO               	1		
000347	VIA COLLETTORE	COLLETTORE                    	1		
000345	VIA COLOMBO CRISTOFORO	COLOMBO CRISTOFORO            	1		
000349	VIA COLUMELLA	COLUMELLA                     	1		
000351	VIA COMO	COMO                          	1		
002000	VIA COMUNALE CORRENTE	COMUNALE CORRENTE             	1		
000353	VIA CONFALONIERI	CONFALONIERI                  	1		
000233	VIA CONSERVATORIO CARMINE	CARMINE                       	1		
000355	VIA CONTINISIO M.	CONTINISIO M.                 	1		
001070	VIA CONTRADA POLISCIAZZO	CONTRADA POLISCIAZZO          	1		
000356	VIA CONVERSANO	CONVERSANO                    	1		
002277	VIA COPENAGHEN	COPENAGHEN	1		
000357	VIA CORFU'	CORFU'                        	1		
000359	VIA CORSICA	CORSICA                       	1		
000361	VIA CORTE D'APPELLO	CORTE D'APPELLO               	1		
000363	VIA CORTE VECCHIA	CORTE VECCHIA                 	1		
000365	VIA COSENZA	COSENZA                       	1		
000366	VIA COSINA WALTER	COSINA WALTER                 	1		
000368	VIA COSTA DEL CAPITOLO	COSTA DEL CAPITOLO            	1		
000369	VIA COTUGNO V.ZO	COTUGNO V.ZO                  	1		
000370	VIA CREMONA	CREMONA		1	
000371	VIA CREMONA PANIFICIO S. FRANCESCO	CREMONA                       	1		
000373	VIA CRISPI FRANCESCO	CRISPI FRANCESCO              	1		
000375	VIA CRISTIANI MATTEO	CRISTIANI MATTEO              	1		
