Articolo	Comma	Codice	Descrizione	Sanzione 60gg.	Sanz. sconto 30%	Punti patente	Codice sanz. acc.	Sanzione Accessoria 1	Data Istat	Data inizio validità effettiva	Data inizio validità	Data fine validità	Sosta Mov.	Annotazioni	Sosta disco	Sosta ticket	Transito ztl	Sosp. patente breve	Magg. notte	Utilizzabile dagli operatori abilitati
16	1 lett. c e 4	01604	INOSSERVANZA DELLE PRESCRIZIONI REGOLAMENTARI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
16	3 E 4	01603	MANUFATTI AGLI SVINCOLI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
16	1LETT.C)4		ALBERI E SIEPI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
17	1 E 3	01701	COSTRUZIONI, PIANTAGIONI E ALTRI MANUFATTI	430,00	301,00	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1999	01/01/2021									
17	2 E 3	01702	FASCE DI RISPETTO ALL'ESTERNO DELLE CURVE	430,00	301,00	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1999	01/01/2021									
18	4 E 5	01803	RECINZIONI E PIANTAGIONI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
18	3 E 5	01802	INTERSEZIONI STRADALI A LIVELLI SFALSATI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
18	1 E 5		NUOVE COSTRUZIONI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
18	2 E 5	01804	INTERSEZIONI STRADALI A RASO	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
19			VEICOLO CON TACHIGRAFO ANALOGICO 		N.P.		0			13/11/1978	13/11/1978									Verbali CA & SP
19	LEGGE 727/78	19999	OMESSA SINCRONIZZAZIONE DEL CRONOTACHIGRAFO	52,00	36,40		0		01/01/2021	01/01/2009	01/01/2021									Verbali CA & SP
19	1 E 2	01901	DISTANZE DI SICUREZZA PER SPECIFICHE ATTIVITA'	866,00	606,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
20	3 E 4	02003	INSTALLAZIONE SUI MARCIAPIEDI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
20	2 E 4		INSTALLAZIONI FUORI CENTRI ABITATI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
